,default,gaussianBlur,jitter
100,0.014745831489562988,0.01661849021911621,0.010954618453979492
200,0.011034369468688965,0.012795567512512207,0.009739398956298828
300,0.009572625160217285,0.010634422302246094,0.01020658016204834
400,0.011337757110595703,0.009858131408691406,0.018647432327270508
500,0.009348154067993164,0.017827391624450684,0.022557377815246582
600,0.01179802417755127,0.013266563415527344,0.02447962760925293
700,0.013961434364318848,0.017852187156677246,0.029867887496948242
800,0.010550260543823242,0.02088320255279541,0.027734756469726562
900,0.010753989219665527,0.018143773078918457,0.06080889701843262
1000,0.0107954740524292,0.02974647283554077,0.05584681034088135
