,raw,pca,resnet,resnetpca
100,0.36899998784065247,0.3709999918937683,0.5389999747276306,0.3440000116825104
200,0.6589999794960022,0.6449999809265137,0.2930000126361847,0.39100000262260437
300,0.9610000252723694,0.9729999899864197,0.024000000208616257,0.05000000074505806
400,0.8650000095367432,0.8320000171661377,0.00800000037997961,0.019999999552965164
500,0.38199999928474426,0.39899998903274536,0.0,0.0
600,0.7490000128746033,0.8579999804496765,0.0,0.0
700,0.6790000200271606,0.902999997138977,0.0,0.0
800,0.8659999966621399,0.9459999799728394,0.0,0.0
900,0.16300000250339508,0.35100001096725464,0.0,0.0
1000,0.3540000021457672,0.6169999837875366,0.0,0.0
