,raw,pca,resnet,resnetpca
100,0.04699999839067459,0.03099999949336052,0.9509999752044678,0.8169999718666077
200,0.8970000147819519,0.6240000128746033,0.4779999852180481,0.40799999237060547
300,0.2409999966621399,0.16300000250339508,0.03400000184774399,0.03799999877810478
400,0.08699999749660492,0.05400000140070915,0.019999999552965164,0.061000000685453415
500,0.0430000014603138,0.039000000804662704,0.0,0.0
600,0.5299999713897705,0.4970000088214874,0.0,0.0
700,0.0689999982714653,0.10199999809265137,0.0,0.0
800,0.1979999989271164,0.25699999928474426,0.0,0.0
900,0.009999999776482582,0.027000000700354576,0.0,0.0
1000,0.25,0.550000011920929,0.0,0.0
