,raw,pca,resnet,resnetpca
100,0.011958718299865723,0.012226581573486328,0.013316988945007324,0.014691829681396484
200,0.011073589324951172,0.010961174964904785,0.011896967887878418,0.010842561721801758
300,0.015625953674316406,0.01680004596710205,0.012031316757202148,0.012459635734558105
400,0.01823437213897705,0.020091533660888672,0.013086438179016113,0.012735247611999512
500,0.037430763244628906,0.043797850608825684,0.022769689559936523,0.023484349250793457
600,0.039719581604003906,0.04530751705169678,0.01773965358734131,0.016930460929870605
700,0.08630561828613281,0.1014779806137085,0.03831887245178223,0.03960251808166504
800,0.07111895084381104,0.08343338966369629,0.030773043632507324,0.029921650886535645
900,0.141898512840271,0.1680513620376587,0.05357646942138672,0.05423176288604736
1000,0.1348189115524292,0.15910112857818604,0.06132829189300537,0.06329524517059326
