,windowsize100,windowsize50,windowsize200
100,0.011224865913391113,0.018864989280700684,
200,0.010471940040588379,0.021455764770507812,0.007231712341308594
300,0.011259317398071289,0.024414539337158203,
400,0.011927962303161621,0.019156694412231445,0.00574648380279541
500,0.010605812072753906,0.01920497417449951,
600,0.013317584991455078,0.02143871784210205,0.006089925765991211
700,0.011354327201843262,0.01884007453918457,
800,0.010664224624633789,0.022381067276000977,0.006411194801330566
900,0.01038515567779541,0.021390914916992188,
1000,0.01211082935333252,0.018513083457946777,0.005964517593383789
50,,0.023778319358825684,
150,,0.018776297569274902,
250,,0.019898295402526855,
350,,0.02364814281463623,
450,,0.01983189582824707,
550,,0.021364331245422363,
650,,0.021467208862304688,
750,,0.01984548568725586,
850,,0.022527456283569336,
950,,0.020366907119750977,
