,windowsize100,windowsize50,windowsize200
100,0.36899998784065247,0.9539999961853027,
200,0.6589999794960022,0.4059999883174896,0.04500000178813934
300,0.3370000123977661,0.07400000095367432,
400,0.16699999570846558,0.9309999942779541,0.6439999938011169
500,0.6259999871253967,0.921999990940094,
600,0.06400000303983688,0.37400001287460327,0.3540000021457672
700,0.296999990940094,0.9599999785423279,
800,0.574999988079071,0.2280000001192093,0.21899999678134918
900,0.7289999723434448,0.40799999237060547,
1000,0.16699999570846558,0.9869999885559082,0.4350000023841858
50,,0.09200000017881393,
150,,0.972000002861023,
250,,0.7609999775886536,
350,,0.13199999928474426,
450,,0.7680000066757202,
550,,0.41100001335144043,
650,,0.38999998569488525,
750,,0.8100000023841858,
850,,0.22599999606609344,
950,,0.6359999775886536,
