,windowsize100,windowsize50,windowsize200
100,0.3440000116825104,0.6729999780654907,
200,0.39100000262260437,0.33899998664855957,0.40799999237060547
300,0.05000000074505806,0.11500000208616257,
400,0.019999999552965164,0.07199999690055847,0.006000000052154064
500,0.0,0.004999999888241291,
600,0.0,0.007000000216066837,0.0
700,0.0,0.0,
800,0.0,0.0,0.0
900,0.0,0.0,
1000,0.0,0.0,0.0
50,,0.3490000069141388,
150,,0.02500000037252903,
250,,0.27000001072883606,
350,,0.052000001072883606,
450,,0.004999999888241291,
550,,0.0010000000474974513,
650,,0.0,
750,,0.0,
850,,0.0,
950,,0.0,
