,windowsize100,windowsize50,windowsize200
100,0.011326074600219727,0.02005016803741455,
200,0.011140108108520508,0.02192234992980957,0.006022334098815918
300,0.010926604270935059,0.019861936569213867,
400,0.011067628860473633,0.021321535110473633,0.006069540977478027
500,0.011690139770507812,0.021511316299438477,
600,0.01131129264831543,0.023050665855407715,0.006127715110778809
700,0.011443495750427246,0.023610711097717285,
800,0.010860800743103027,0.022592544555664062,0.0062122344970703125
900,0.01101231575012207,0.02015399932861328,
1000,0.011875748634338379,0.021932244300842285,0.00634312629699707
50,,0.021814703941345215,
150,,0.02791762351989746,
250,,0.020922183990478516,
350,,0.02179241180419922,
450,,0.021001100540161133,
550,,0.020242691040039062,
650,,0.02182316780090332,
750,,0.019927382469177246,
850,,0.021142125129699707,
950,,0.028944730758666992,
