,windowsize100,windowsize50,windowsize200
100,0.3440000116825104,0.6729999780654907,
200,0.39100000262260437,0.33899998664855957,0.40799999237060547
300,0.47600001096725464,0.7070000171661377,
400,0.43700000643730164,0.4359999895095825,0.36800000071525574
500,0.2529999911785126,0.39800000190734863,
600,0.3400000035762787,0.21799999475479126,0.3479999899864197
700,0.30399999022483826,0.16300000250339508,
800,0.492000013589859,0.2460000067949295,0.30799999833106995
900,0.44200000166893005,0.6549999713897705,
1000,0.2150000035762787,0.33500000834465027,0.26899999380111694
50,,0.3490000069141388,
150,,0.02500000037252903,
250,,0.4690000116825104,
350,,0.3499999940395355,
450,,0.46700000762939453,
550,,0.6299999952316284,
650,,0.33500000834465027,
750,,0.7149999737739563,
850,,0.4410000145435333,
950,,0.017000000923871994,
