,raw,resnetpca,pca,resnet
100,0.7459999918937683,,,
200,0.14000000059604645,0.1420000046491623,0.6299999952316284,0.5879999995231628
300,0.20600000023841858,,,
400,0.414000004529953,0.026000000536441803,0.46700000762939453,0.10999999940395355
500,0.2759999930858612,,,
600,0.3019999861717224,0.04100000113248825,0.052000001072883606,0.0
700,0.4189999997615814,,,
800,0.00800000037997961,0.050999999046325684,0.6729999780654907,0.0
900,0.10700000077486038,,,
1000,0.7829999923706055,0.0,0.6140000224113464,0.0
