,resnetpca10,resnetpca50,resnetpca100,resnet
100,0.00965726375579834,0.011661529541015625,0.009394288063049316,0.010928511619567871
200,0.01083230972290039,0.011856794357299805,0.015600919723510742,0.010784745216369629
300,0.008961915969848633,0.01337575912475586,0.010925650596618652,0.009791135787963867
400,0.009406208992004395,0.012795329093933105,0.011041045188903809,0.011416196823120117
500,0.010247588157653809,0.009679794311523438,0.012108683586120605,0.010675311088562012
600,0.016076326370239258,0.011179208755493164,0.012173056602478027,0.01445925235748291
700,0.008859753608703613,0.011980056762695312,0.01124584674835205,0.010401368141174316
800,0.014726758003234863,0.01137387752532959,0.009837985038757324,0.01225745677947998
900,0.01325833797454834,0.011189579963684082,0.01209723949432373,0.010671019554138184
1000,0.013319849967956543,0.012201309204101562,0.010071277618408203,0.010695576667785645
