,resnetpca10,resnetpca50,resnetpca100,resnet
100,0.00965726375579834,0.011661529541015625,0.009394288063049316,0.010928511619567871
200,0.01083230972290039,0.011856794357299805,0.015600919723510742,0.010784745216369629
300,0.013142585754394531,0.015053868293762207,0.012022972106933594,0.011952042579650879
400,0.0091933012008667,0.0127716064453125,0.0141448974609375,0.013940095901489258
500,0.034023284912109375,0.028728604316711426,0.02708423137664795,0.02263963222503662
600,0.020438671112060547,0.02913534641265869,0.03155982494354248,0.025616884231567383
700,0.03843832015991211,0.03219330310821533,0.03499960899353027,0.036008477210998535
800,0.0489649772644043,0.03072679042816162,0.0364912748336792,0.039688706398010254
900,0.060329318046569824,0.05670905113220215,0.05755901336669922,0.05770981311798096
1000,0.06089377403259277,0.059342384338378906,0.05611860752105713,0.05215930938720703
