,resnetpca10,resnetpca50,resnetpca100,resnet
100,0.7409999966621399,0.2619999945163727,0.9670000076293945,0.4350000023841858
200,0.42399999499320984,0.21699999272823334,0.013000000268220901,0.48899999260902405
300,0.13500000536441803,0.01899999938905239,0.17900000512599945,0.15800000727176666
400,0.8429999947547913,0.11599999666213989,0.01899999938905239,0.02800000086426735
500,0.0,0.0,0.0,0.0
600,0.0010000000474974513,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
