,windowsize100,windowsize50,windowsize200
100,0.7450000047683716,0.8429999947547913,
200,0.47999998927116394,0.296999990940094,0.11599999666213989
300,0.8730000257492065,0.7509999871253967,
400,0.7250000238418579,0.1469999998807907,0.017000000923871994
500,0.30300000309944153,0.14399999380111694,
600,0.13600000739097595,0.07800000160932541,0.02500000037252903
700,0.052000001072883606,0.5329999923706055,
800,0.09700000286102295,0.8460000157356262,0.00800000037997961
900,0.004999999888241291,0.010999999940395355,
1000,0.0010000000474974513,0.0020000000949949026,0.0
50,,0.07800000160932541,
150,,0.050999999046325684,
250,,0.42899999022483826,
350,,0.10599999874830246,
450,,0.4830000102519989,
550,,0.34700000286102295,
650,,0.14100000262260437,
750,,0.8309999704360962,
850,,0.004000000189989805,
950,,0.15000000596046448,
