,raw,pca,resnet,resnetpca
100,0.010498881340026855,0.010567784309387207,0.010550975799560547,0.01034092903137207
200,0.01011967658996582,0.009612441062927246,0.010788440704345703,0.011085748672485352
300,0.01017773151397705,0.009513378143310547,0.011550545692443848,0.011952638626098633
400,0.010549187660217285,0.0109177827835083,0.009842276573181152,0.009634733200073242
500,0.010195732116699219,0.009779810905456543,0.010051846504211426,0.010073661804199219
600,0.009905815124511719,0.009621500968933105,0.010479092597961426,0.010422945022583008
700,0.011130690574645996,0.011084675788879395,0.01066744327545166,0.010900259017944336
800,0.01044762134552002,0.010241031646728516,0.011250853538513184,0.011139988899230957
900,0.010498881340026855,0.010567784309387207,0.010550975799560547,0.01034092903137207
1000,0.01011967658996582,0.009612441062927246,0.010788440704345703,0.011085748672485352
