,raw,pca,resnet,resnetpca
100,0.6679999828338623,0.5740000009536743,0.6389999985694885,0.6919999718666077
200,0.8360000252723694,0.9190000295639038,0.531000018119812,0.3970000147819519
300,0.824999988079071,0.9470000267028809,0.2759999930858612,0.19900000095367432
400,0.625,0.44699999690055847,0.9169999957084656,0.9150000214576721
500,0.7950000166893005,0.8669999837875366,0.8709999918937683,0.8050000071525574
600,0.925000011920929,0.9210000038146973,0.6539999842643738,0.6399999856948853
700,0.39399999380111694,0.4099999964237213,0.6179999709129333,0.5009999871253967
800,0.6769999861717224,0.6890000104904175,0.3330000042915344,0.37700000405311584
900,0.6679999828338623,0.5740000009536743,0.6389999985694885,0.6919999718666077
1000,0.8360000252723694,0.9190000295639038,0.531000018119812,0.3970000147819519
