,raw,pca,resnet,resnetpca
100,0.011224865913391113,0.011255502700805664,0.010798215866088867,0.011326074600219727
200,0.010471940040588379,0.010328054428100586,0.011448264122009277,0.011140108108520508
300,0.009770512580871582,0.009346485137939453,0.014868855476379395,0.013910770416259766
400,0.010039687156677246,0.00984656810760498,0.015519857406616211,0.014726877212524414
500,0.011158347129821777,0.011136651039123535,0.02721250057220459,0.023399829864501953
600,0.010274529457092285,0.009778976440429688,0.026572704315185547,0.02383732795715332
700,0.01050269603729248,0.009711027145385742,0.047116994857788086,0.03966033458709717
800,0.010040998458862305,0.009459972381591797,0.04636192321777344,0.03809535503387451
900,0.012163162231445312,0.011353254318237305,0.06911718845367432,0.05598044395446777
1000,0.011108636856079102,0.010414361953735352,0.07940876483917236,0.06501030921936035
