,raw,pca,resnet,resnetpca
100,0.011001110076904297,0.01165151596069336,0.010613203048706055,0.010639786720275879
200,0.011223077774047852,0.01162099838256836,0.01061403751373291,0.011298418045043945
300,0.02161860466003418,0.02525806427001953,0.012337446212768555,0.01227271556854248
400,0.0224459171295166,0.026442289352416992,0.01692783832550049,0.018544554710388184
500,0.048807501792907715,0.058779120445251465,0.020042777061462402,0.020211338996887207
600,0.03571128845214844,0.04204201698303223,0.02143990993499756,0.021825313568115234
700,0.07485616207122803,0.0891197919845581,0.03579449653625488,0.03700685501098633
800,0.08480691909790039,0.10155320167541504,0.029468059539794922,0.028578519821166992
900,0.1387948989868164,0.1648850440979004,0.051360249519348145,0.05234348773956299
1000,0.13953936100006104,0.16549479961395264,0.05482304096221924,0.05622744560241699
