,windowsize100,windowsize50,windowsize200
100,0.011326074600219727,0.02005016803741455,
200,0.011140108108520508,0.02192234992980957,0.006022334098815918
300,0.013910770416259766,0.024258852005004883,
400,0.014726877212524414,0.02509486675262451,0.009380698204040527
500,0.023399829864501953,0.033869147300720215,
600,0.02383732795715332,0.029955744743347168,0.01892268657684326
700,0.03966033458709717,0.05681204795837402,
800,0.03809535503387451,0.04539799690246582,0.034485697746276855
900,0.05598044395446777,0.06526076793670654,
1000,0.06501030921936035,0.06644952297210693,0.054944634437561035
50,,0.021814703941345215,
150,,0.02791762351989746,
250,,0.022359251976013184,
350,,0.026605725288391113,
450,,0.03070354461669922,
550,,0.03670048713684082,
650,,0.04550457000732422,
750,,0.049671053886413574,
850,,0.06490492820739746,
950,,0.0926826000213623,
