,windowsize100,windowsize50,windowsize200
100,0.009993314743041992,0.017928361892700195,
200,0.011116981506347656,0.01943075656890869,0.006133317947387695
300,0.012537956237792969,0.023587584495544434,
400,0.010487914085388184,0.024778127670288086,0.0061331987380981445
500,0.011445164680480957,0.023874878883361816,
600,0.013343572616577148,0.02286362648010254,0.006133317947387695
700,0.00977635383605957,0.02114260196685791,
800,0.011428475379943848,0.022465944290161133,0.006133437156677246
900,0.009993314743041992,0.017928361892700195,
1000,0.011116981506347656,0.01943075656890869,0.006133317947387695
50,,0.02387821674346924,
150,,0.025081634521484375,
250,,0.021464824676513672,
350,,0.024182677268981934,
450,,0.020333290100097656,
550,,0.02359020709991455,
650,,0.02451479434967041,
750,,0.02099466323852539,
850,,0.02387821674346924,
950,,0.025081634521484375,
