,windowsize100,windowsize50,windowsize200
100,0.296999990940094,0.24199999868869781,
200,0.2150000035762787,0.2240000069141388,0.296999990940094
300,0.1899999976158142,0.45500001311302185,
400,0.46700000762939453,0.8539999723434448,0.30300000309944153
500,0.04600000008940697,0.10100000351667404,
600,0.8349999785423279,0.6690000295639038,0.31299999356269836
700,0.10599999874830246,0.29600000381469727,
800,0.5860000252723694,0.9419999718666077,0.296999990940094
900,0.296999990940094,0.24199999868869781,
1000,0.2150000035762787,0.2240000069141388,0.296999990940094
50,,0.5740000009536743,
150,,0.7039999961853027,
250,,0.30799999833106995,
350,,0.20499999821186066,
450,,0.21199999749660492,
550,,0.18199999630451202,
650,,0.2290000021457672,
750,,0.3109999895095825,
850,,0.5740000009536743,
950,,0.7039999961853027,
