,windowsize100,windowsize50,windowsize200
100,0.014691829681396484,0.026138782501220703,
200,0.010842561721801758,0.01772022247314453,0.006022214889526367
300,0.012459635734558105,0.024118423461914062,
400,0.012735247611999512,0.02243661880493164,0.0080643892288208
500,0.023484349250793457,0.028629422187805176,
600,0.016930460929870605,0.028057456016540527,0.014917969703674316
700,0.03960251808166504,0.0508192777633667,
800,0.029921650886535645,0.034789443016052246,0.030041933059692383
900,0.05423176288604736,0.06657004356384277,
1000,0.06329524517059326,0.07049322128295898,0.05360770225524902
50,,0.02409803867340088,
150,,0.02501523494720459,
250,,0.02078080177307129,
350,,0.02059638500213623,
450,,0.038663268089294434,
550,,0.02967524528503418,
650,,0.048358917236328125,
750,,0.04373931884765625,
850,,0.06276726722717285,
950,,0.07446229457855225,
