,windowsize100,windowsize50,windowsize200
100,0.020999999716877937,0.054999999701976776,
200,0.4830000102519989,0.9919999837875366,0.39899998903274536
300,0.13899999856948853,0.12200000137090683,
400,0.10100000351667404,0.2529999911785126,0.017000000923871994
500,0.0,0.01899999938905239,
600,0.004000000189989805,0.013000000268220901,0.0
700,0.0,0.0,
800,0.0,0.0,0.0
900,0.0,0.0,
1000,0.0,0.0,0.0
50,,0.125,
150,,0.07999999821186066,
250,,0.4729999899864197,
350,,0.5419999957084656,
450,,0.0,
550,,0.014000000432133675,
650,,0.0,
750,,0.0,
850,,0.0,
950,,0.0,
