,raw,resnetpca,pca,resnet
100,0.010362744331359863,,,
200,0.012163758277893066,0.007221698760986328,0.005558013916015625,0.005791068077087402
300,0.011811137199401855,,,
400,0.011075854301452637,0.008672237396240234,0.005880475044250488,0.00682377815246582
500,0.011451482772827148,,,
600,0.011441826820373535,0.008516192436218262,0.007901549339294434,0.011091232299804688
700,0.010997176170349121,,,
800,0.015408039093017578,0.008143424987792969,0.005396723747253418,0.020737409591674805
900,0.012577533721923828,,,
1000,0.010246634483337402,0.022858500480651855,0.005534172058105469,0.031052231788635254
