,resnetpca10,resnetpca50,resnetpca100,resnet
100,0.7409999966621399,0.2619999945163727,0.9670000076293945,0.4350000023841858
200,0.42399999499320984,0.21699999272823334,0.013000000268220901,0.48899999260902405
300,0.8709999918937683,0.25999999046325684,0.12999999523162842,0.13300000131130219
400,0.6899999976158142,0.09099999815225601,0.09700000286102295,0.11100000143051147
500,0.3089999854564667,0.03700000047683716,0.013000000268220901,0.0
600,0.09799999743700027,0.003000000026077032,0.0020000000949949026,0.008999999612569809
700,0.04600000008940697,0.003000000026077032,0.006000000052154064,0.0
800,0.09700000286102295,0.029999999329447746,0.0,0.0
900,0.00800000037997961,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
