,resnetpca10,resnetpca50,resnetpca100,resnet
100,0.7409999966621399,0.2619999945163727,0.9670000076293945,0.4350000023841858
200,0.42399999499320984,0.21699999272823334,0.013000000268220901,0.48899999260902405
300,0.9110000133514404,0.07699999958276749,0.4490000009536743,0.9480000138282776
400,0.8019999861717224,0.1120000034570694,0.40400001406669617,0.27000001072883606
500,0.5920000076293945,0.878000020980835,0.1809999942779541,0.5860000252723694
600,0.02500000037252903,0.35100001096725464,0.16699999570846558,0.017999999225139618
700,0.9210000038146973,0.21699999272823334,0.3610000014305115,0.6980000138282776
800,0.05900000035762787,0.3199999928474426,0.8759999871253967,0.12200000137090683
900,0.12999999523162842,0.36399999260902405,0.1850000023841858,0.5630000233650208
1000,0.11999999731779099,0.19499999284744263,0.8019999861717224,0.5580000281333923
